% 1. Title: OPENJPA project analysis
% 
% 2. Sources: 
%    (a) Massimo Stanzione
%    (b) OPENJPA public git repository
% 
% 3. Relevant Information:
%      This dataset is used in the deliverable 2 of the "Ingegneria del Software II" exam,
%      Machine Learning module, Faculty of Engineering, University of Rome Tor Vergata.
% 
% 4. Number of Instances: 4396
% 
% 5. Number of Attributes: 12
% 

@RELATION	OPENJPA

@ATTRIBUTE	Version	NUMERIC
@ATTRIBUTE	Name	STRING
@ATTRIBUTE	Size	NUMERIC
@ATTRIBUTE	NR	NUMERIC
@ATTRIBUTE	NAuth	NUMERIC
@ATTRIBUTE	LOC_Touched	NUMERIC
@ATTRIBUTE	LOC_Added	NUMERIC
@ATTRIBUTE	Max_LOC_Added	NUMERIC
@ATTRIBUTE	Avg_LOC_Added	NUMERIC
@ATTRIBUTE	Churn	NUMERIC
@ATTRIBUTE	ChgSetSize	NUMERIC
@ATTRIBUTE	Buggy	{true,false}

@DATA
1,openjpa-examples/src/main/java/reversemapping/Main.java,3,1,1,120,120,120,120.0,120,1,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,3,1,1,230,230,230,230.0,230,2,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerValue.java,3,1,1,49,49,49,49.0,49,4,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,3,1,1,537,537,537,537.0,537,12,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FinalizingBrokerImpl.java,3,1,1,23,23,23,23.0,23,4,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryHints.java,3,1,1,25,25,25,25.0,25,11,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/DoubleId.java,3,1,1,66,66,66,66.0,66,9,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/FloatId.java,3,1,1,65,65,65,65.0,65,9,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/NoResultException.java,3,1,1,43,43,43,43.0,43,6,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/NonUniqueResultException.java,3,1,1,43,43,43,43.0,43,6,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyBean.java,3,1,1,32,32,32,32.0,32,26,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyCollections.java,3,1,1,468,468,468,468.0,468,26,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyMaps.java,3,1,1,282,282,282,282.0,282,26,false
1,openjpa-kernel/src/test/java/org/apache/openjpa/util/TestProxyManager.java,3,1,1,971,971,971,971.0,971,26,false
1,openjpa-lib/src/test/java/org/apache/openjpa/lib/conf/TestConfigurationProviderPrefixes.java,3,1,1,85,85,85,85.0,85,11,false
